L,Beta,r,G(r),g(r)
200,0.90,29,1.00,-0.00
200,0.90,30,1.00,-0.00
200,0.90,31,1.00,-0.00
200,0.90,32,1.00,-0.00
200,0.90,33,1.00,0.00
200,0.90,34,1.00,-0.00
200,0.90,35,1.00,-0.00
200,0.90,36,1.00,0.00
200,0.90,37,1.00,-0.00
200,0.90,38,1.00,-0.00
200,0.90,39,1.00,-0.00
200,0.90,40,1.00,0.00
200,0.90,41,1.00,0.00
200,0.90,42,1.00,-0.00
200,0.90,43,1.00,0.00
200,0.90,44,1.00,0.00
200,0.90,45,1.00,-0.00
200,0.90,46,1.00,-0.00
200,0.90,47,1.00,-0.00
200,0.90,48,1.00,-0.00
200,0.90,49,1.00,0.00
200,0.90,50,1.00,-0.00
200,0.90,51,1.00,-0.00
200,0.90,52,1.00,-0.00
200,0.90,53,1.00,-0.00
200,0.90,54,1.00,-0.00
200,0.90,55,1.00,-0.00
200,0.90,56,1.00,-0.00
200,0.90,57,1.00,-0.00
200,0.90,58,1.00,0.00
200,0.90,59,1.00,-0.00
200,0.90,60,1.00,-0.00
200,0.90,61,1.00,0.00
200,0.90,62,1.00,0.00
200,0.90,63,1.00,0.00
200,0.90,64,1.00,-0.00
200,0.90,65,1.00,-0.00
200,0.90,66,1.00,-0.00
200,0.90,67,1.00,0.00
200,0.90,68,1.00,0.00
200,0.90,69,1.00,-0.00
200,0.90,70,1.00,-0.00
200,0.90,71,1.00,-0.00
200,0.90,72,1.00,-0.00
200,0.90,73,1.00,0.00
200,0.90,74,1.00,-0.00
200,0.90,75,1.00,0.00
200,0.90,76,1.00,0.00
200,0.90,77,1.00,-0.00
200,0.90,78,1.00,0.00
200,0.90,79,1.00,0.00
200,0.90,80,1.00,-0.00
200,0.90,81,1.00,-0.00
200,0.90,82,1.00,0.00
200,0.90,83,1.00,0.00
200,0.90,84,1.00,-0.00
200,0.90,85,1.00,0.00
200,0.90,86,1.00,-0.00
200,0.90,87,1.00,-0.00
200,0.90,88,1.00,0.00
200,0.90,89,1.00,0.00
200,0.90,90,1.00,0.00
200,0.90,91,1.00,0.00
200,0.90,92,1.00,-0.00
200,0.90,93,1.00,0.00
200,0.90,94,1.00,-0.00
200,0.90,95,1.00,-0.00
200,0.90,96,1.00,0.00
200,0.90,97,1.00,-0.00
200,0.90,98,1.00,0.00
200,0.90,99,1.00,0.00
200,0.90,100,1.00,-0.00
200,1.00,0,1.00,0.00
200,1.00,1,1.00,0.00
200,1.00,2,1.00,0.00
200,1.00,3,1.00,0.00
200,1.00,4,1.00,-0.00
200,1.00,5,1.00,-0.00
200,1.00,6,1.00,-0.00
200,1.00,7,1.00,-0.00
200,1.00,8,1.00,-0.00
200,1.00,9,1.00,-0.00
200,1.00,10,1.00,-0.00
200,1.00,11,1.00,-0.00
200,1.00,12,1.00,-0.00
200,1.00,13,1.00,-0.00
200,1.00,14,1.00,-0.00
200,1.00,15,1.00,-0.00
200,1.00,16,1.00,-0.00
200,1.00,17,1.00,-0.00
200,1.00,18,1.00,-0.00
200,1.00,19,1.00,-0.00
200,1.00,20,1.00,-0.00
200,1.00,21,1.00,-0.00
200,1.00,22,1.00,-0.00
200,1.00,23,1.00,0.00
200,1.00,24,1.00,-0.00
200,1.00,25,1.00,-0.00
200,1.00,26,1.00,0.00
200,1.00,27,1.00,0.00
200,1.00,28,1.00,-0.00
200,1.00,29,1.00,-0.00
200,1.00,30,1.00,-0.00
200,1.00,31,1.00,-0.00
200,1.00,32,1.00,-0.00
200,1.00,33,1.00,-0.00
200,1.00,34,1.00,0.00
200,1.00,35,1.00,0.00
200,1.00,36,1.00,0.00
200,1.00,37,1.00,0.00
200,1.00,38,1.00,-0.00
200,1.00,39,1.00,-0.00
200,1.00,40,1.00,-0.00
200,1.00,41,1.00,-0.00
200,1.00,42,1.00,-0.00
200,1.00,43,1.00,-0.00
200,1.00,44,1.00,0.00
200,1.00,45,1.00,0.00
200,1.00,46,1.00,-0.00
200,1.00,47,1.00,0.00
200,1.00,48,1.00,0.00
200,1.00,49,1.00,0.00
200,1.00,50,1.00,-0.00
200,1.00,51,1.00,-0.00
200,1.00,52,1.00,-0.00
200,1.00,53,1.00,-0.00
200,1.00,54,1.00,0.00
200,1.00,55,1.00,0.00
200,1.00,56,1.00,0.00
200,1.00,57,1.00,-0.00
200,1.00,58,1.00,0.00
200,1.00,59,1.00,0.00
200,1.00,60,1.00,0.00
200,1.00,61,1.00,0.00
200,1.00,62,1.00,-0.00
200,1.00,63,1.00,-0.00
200,1.00,64,1.00,-0.00
200,1.00,65,1.00,-0.00
200,1.00,66,1.00,-0.00
200,1.00,67,1.00,-0.00
200,1.00,68,1.00,-0.00
200,1.00,69,1.00,-0.00
200,1.00,70,1.00,-0.00
200,1.00,71,1.00,-0.00
200,1.00,72,1.00,-0.00
200,1.00,73,1.00,-0.00
200,1.00,74,1.00,-0.00
200,1.00,75,1.00,-0.00
200,1.00,76,1.00,0.00
200,1.00,77,1.00,0.00
200,1.00,78,1.00,-0.00
200,1.00,79,1.00,-0.00
200,1.00,80,1.00,-0.00
200,1.00,81,1.00,-0.00
200,1.00,82,1.00,-0.00
200,1.00,83,1.00,-0.00
200,1.00,84,1.00,0.00
200,1.00,85,1.00,0.00
200,1.00,86,1.00,-0.00
200,1.00,87,1.00,-0.00
200,1.00,88,1.00,-0.00
200,1.00,89,1.00,-0.00
200,1.00,90,1.00,0.00
200,1.00,91,1.00,0.00
200,1.00,92,1.00,0.00
200,1.00,93,1.00,-0.00
200,1.00,94,1.00,-0.00
200,1.00,95,1.00,-0.00
200,1.00,96,1.00,0.00
200,1.00,97,1.00,0.00
200,1.00,98,1.00,0.00
200,1.00,99,1.00,-0.00
200,1.00,100,1.00,-0.00
